0562: Einst_SuZIPTg_zeit_2_5 
0563: Einst_SuZIPTg_zeit_3_4 
0564: Einst_SuZIPTg_zeit_3_5 
0565: Einst_SuZIPTg_zeit_4_4 
0566: Einst_SuZIPTg_zeit_4_5 
0567: Einst_SuZIPTg_zeit_0_6 
0568: Einst_SuZIPTg_zeit_0_7 
0569: Einst_SuZIPTg_zeit_1_6 
0570: Einst_SuZIPTg_zeit_1_7 
0571: Einst_SuZIPTg_zeit_2_6 
0572: Einst_SuZIPTg_zeit_2_7 
0573: Einst_SuZIPTg_zeit_3_6 
0574: Einst_SuZIPTg_zeit_3_7 
0575: Einst_SuZIPTg_zeit_4_6 
0576: Einst_SuZIPTg_zeit_4_7 
0577: Einst_SuZIPTg_zeit_0_8 
0578: Einst_SuZIPTg_zeit_0_9 
0579: Einst_SuZIPTg_zeit_1_8 
0580: Einst_SuZIPTg_zeit_1_9 
0581: Einst_SuZIPTg_zeit_2_8 
0582: Einst_SuZIPTg_zeit_2_9 
0583: Einst_SuZIPTg_zeit_3_8 
0584: Einst_SuZIPTg_zeit_3_9 
0585: Einst_SuZIPTg_zeit_4_8 
0586: Einst_SuZIPTg_zeit_4_9 
0587: Einst_SuZIPTg_zeit_0_10 
0588: Einst_SuZIPTg_zeit_0_11 
0589: Einst_SuZIPTg_zeit_1_10 
0590: Einst_SuZIPTg_zeit_1_11 
0591: Einst_SuZIPTg_zeit_2_10 
0592: Einst_SuZIPTg_zeit_2_11 
0593: Einst_SuZIPTg_zeit_3_10 
0594: Einst_SuZIPTg_zeit_3_11 
0595: Einst_SuZIPTg_zeit_4_10 
0596: Einst_SuZIPTg_zeit_4_11 
0597: Einst_SuZIPTg_zeit_0_12 
0598: Einst_SuZIPTg_zeit_0_13 
0599: Einst_SuZIPTg_zeit_1_12 
0600: Einst_SuZIPTg_zeit_1_13 
0601: Einst_SuZIPTg_zeit_2_12 
0602: Einst_SuZIPTg_zeit_2_13 
0603: Einst_SuZIPTg_zeit_3_12 
0604: Einst_SuZIPTg_zeit_3_13 
0605: Einst_SuZIPTg_zeit_4_12 
0606: Einst_SuZIPTg_zeit_4_13 
0607: Einst_SuSwb_akt 
0608: Einst_SuSwbWo_zeit_0_0 
0609: Einst_SuSwbWo_zeit_0_1 
0610: Einst_SuSwbWo_zeit_1_0 
0611: Einst_SuSwbWo_zeit_1_1 
0612: Einst_SuSwbWo_zeit_2_0 
0613: Einst_SuSwbWo_zeit_2_1 
0614: Einst_SuSwb25_zeit_0_0 
0615: Einst_SuSwb25_zeit_0_1 
0616: Einst_SuSwb25_zeit_1_0 
0617: Einst_SuSwb25_zeit_1_1 
0618: Einst_SuSwb25_zeit_2_0 
0619: Einst_SuSwb25_zeit_2_1 
0620: Einst_SuSwb25_zeit_0_2 
0621: Einst_SuSwb25_zeit_0_3 
0622: Einst_SuSwb25_zeit_1_2 
0623: Einst_SuSwb25_zeit_1_3 
0624: Einst_SuSwb25_zeit_2_2 
0625: Einst_SuSwb25_zeit_2_3 
0626: Einst_SuSwbTg_zeit_0_0 
0627: Einst_SuSwbTg_zeit_0_1 
0628: Einst_SuSwbTg_zeit_1_0 
0629: Einst_SuSwbTg_zeit_1_1 
0630: Einst_SuSwbTg_zeit_2_0 
0631: Einst_SuSwbTg_zeit_2_1 
0632: Einst_SuSwbTg_zeit_0_2 
0633: Einst_SuSwbTg_zeit_0_3 
0634: Einst_SuSwbTg_zeit_1_2 
0635: Einst_SuSwbTg_zeit_1_3 
0636: Einst_SuSwbTg_zeit_2_2 
0637: Einst_SuSwbTg_zeit_2_3 
